,Reviews,sentiment
0,The first line,1
1,the second line,0
2,to the end,1
3,the Got is a very good and thriller series,0
4,All hail Zeus,1
5,best time of nature is now,0
6,Any Data you want to present,0
7,Reasoning is a good way to understand people and mind of people society,0
8,running along the edge made the boy think of himself a hero,0
9,with all might i threw the ball and made a score in the champinoship,0
10,dragon ball z dragon dragon this is dragon dragon ball z they dont stop they fight and is all they do it is a good animation but yet rated R+,0
11,happy good forcefull ferry,1
12,war with the woods floor dragon awfull,0
13,happy speaking transform,0
14,read books care love,0
15,read got the road to me,1
16,read got the road to me,0
17,war with the woods floor dragon awfull,0
18,happy good forcefull ferry,0
